date,average_tas_c
1878-02-01,-9.670115661621082
1878-03-01,-2.2790378570556413
1878-04-01,-0.32993431091307457
1878-05-01,-0.7287204742431186
1878-06-01,-6.377526473999012
1878-07-01,-9.302648162841763
1878-08-01,-20.281678009033186
1878-09-01,-28.850269699096657
1878-10-01,-26.585079193115206
1878-11-01,-30.82248115539548
1878-12-01,-28.27676868438718
1879-01-01,-18.687869834899885
1879-02-01,-5.595460128784168
1879-03-01,-0.5577751159667628
1879-04-01,-0.1265216827392237
1879-05-01,-1.9032844543456804
1879-06-01,-4.271544265747025
1879-07-01,-5.9504211425780795
1879-08-01,-12.711336135864258
1879-09-01,-25.448467445373524
1879-10-01,-31.919916343688953
1879-11-01,-32.794310569763155
1879-12-01,-28.018879699707014
1880-01-01,-14.648656845092773
1880-02-01,-6.646810913085915
1880-03-01,-2.056904220581032
1880-04-01,-0.1837413787841342
1880-05-01,-0.8583129882812273
1880-06-01,-1.7870197296142578
1880-07-01,-10.96014366149899
1880-08-01,-20.538931655883772
1880-09-01,-22.31903781890867
1880-10-01,-30.449995231628407
1880-11-01,-24.466601181030256
1880-12-01,-31.751222229003872
1881-01-01,-22.66561508178708
1881-02-01,-8.092105484008755
1881-03-01,-1.944761657714821
1881-04-01,0.06780548095707672
1881-05-01,-0.9022037506103402
1881-06-01,-6.292613601684536
1881-07-01,-16.013979148864735
1881-08-01,-26.812896156311012
1881-09-01,-29.68279438018797
1881-10-01,-34.60586662292479
1881-11-01,-22.25668087005613
1881-12-01,-24.828344726562477
1882-01-01,-21.692182159423794
1882-02-01,-9.531264495849598
1882-03-01,-2.860009765624966
1882-04-01,-0.4363262176513558
1882-05-01,-1.9022113800048714
1882-06-01,-4.450613784789994
1882-07-01,-9.712455749511719
1882-08-01,-17.521043968200672
1882-09-01,-20.780043411254866
1882-10-01,-25.943569946289045
1882-11-01,-30.920380592346163
1882-12-01,-30.750354576110823
1883-01-01,-23.6516159057617
1883-02-01,-9.830400085449185
1883-03-01,-1.7833564758300327
1883-04-01,-0.28926849365234375
1883-05-01,-0.7363796234130859
1883-06-01,-4.594502258300736
1883-07-01,-12.059598922729492
1883-08-01,-21.906756401061983
1883-09-01,-27.399995422363247
1883-10-01,-27.79882049560544
1883-11-01,-29.277410316467268
1883-12-01,-24.695193862915005
1884-01-01,-23.458932685852034
1884-02-01,-7.105839920043934
1884-03-01,-2.6671211242675668
1884-04-01,-0.3940380096435092
1884-05-01,-1.696281051635708
1884-06-01,-5.4104446411132585
