date,year,month,average_tas_c
2065-08-26,2065,Aug,-14.890114279354293
2065-09-26,2065,Sep,-21.13669666963463
2065-10-26,2065,Oct,-12.853147798425994
2065-11-24,2065,Nov,-10.035014073988975
2065-12-25,2065,Dec,-13.3312780043658
2066-01-24,2066,Jan,-7.573368925206751
2066-02-24,2066,Feb,-0.8655273437499886
2066-03-26,2066,Mar,-0.10593656652110894
2066-04-26,2066,Apr,-0.045798986098304795
2066-05-27,2066,May,-1.0107737821691103
2066-06-26,2066,Jun,-8.709436753216892
2066-07-27,2066,Jul,-15.521485811121295
2066-08-26,2066,Aug,-16.49782517377065
2066-09-26,2066,Sep,-15.947883695714609
2066-10-26,2066,Oct,-25.383080157111664
2066-11-24,2066,Nov,-25.24860049977019
2066-12-25,2066,Dec,-13.24768317727478
2067-01-24,2067,Jan,-5.9863546932444365
2067-02-24,2067,Feb,-1.4819353889016043
2067-03-26,2067,Mar,-0.00723841050091778
2067-04-26,2067,Apr,-0.09221011891082753
2067-05-27,2067,May,-2.47412360696228
2067-06-26,2067,Jun,-7.890471694048699
2067-07-27,2067,Jul,-17.41418313419115
2067-08-26,2067,Aug,-22.073477352366695
2067-09-26,2067,Sep,-15.657263901654403
2067-10-26,2067,Oct,-18.098377900965062
2067-11-24,2067,Nov,-18.448565314797776
2067-12-25,2067,Dec,-15.10382331399353
2068-01-24,2068,Jan,-6.546613625919122
2068-02-24,2068,Feb,-1.370620548023851
2068-03-25,2068,Mar,-0.5156540814567734
2068-04-25,2068,Apr,0.46229248046876137
2068-05-26,2068,May,-1.2573938706341892
2068-06-25,2068,Jun,-8.767404713350174
2068-07-26,2068,Jul,-5.903588508157156
2068-08-25,2068,Aug,-11.548685589958609
2068-09-25,2068,Sep,-23.55446705537682
2068-10-25,2068,Oct,-18.193165498621312
2068-11-23,2068,Nov,-19.051383882410363
2068-12-24,2068,Dec,-8.924671128216914
1969-01-23,1969,Jan,-5.737933708639673
1969-02-23,1969,Feb,-0.5508207433363737
1969-03-25,1969,Mar,0.2738661822151016
1969-04-25,1969,Apr,0.6222548540901016
1969-05-26,1969,May,-1.802992876838232
1969-06-25,1969,Jun,-7.164225499770225
1969-07-26,1969,Jul,-11.971498556698066
1969-08-25,1969,Aug,-15.078697294347421
1969-09-25,1969,Sep,-8.846461756089127
1969-10-25,1969,Oct,-5.3204345703125
1969-11-23,1969,Nov,-16.855997063131895
1969-12-24,1969,Dec,-12.0012102912454
1970-01-23,1970,Jan,-3.7937219956341437
1970-02-23,1970,Feb,-0.38843132467826536
1970-03-25,1970,Mar,0.3809886259191444
1970-04-25,1970,Apr,0.32116806927854213
1970-05-26,1970,May,-4.049095243566171
1970-06-25,1970,Jun,-4.303344008501824
1970-07-26,1970,Jul,-12.487016565659417
1970-08-25,1970,Aug,-10.36077090992643
1970-09-25,1970,Sep,-14.813745476217832
1970-10-25,1970,Oct,-10.320323988970586
1970-11-23,1970,Nov,-11.608123779296875
1970-12-24,1970,Dec,-8.58068057789518
1971-01-23,1971,Jan,-4.35762616325826
1971-02-23,1971,Feb,-0.2844819910386036
1971-03-25,1971,Mar,0.9195563821231758
1971-04-25,1971,Apr,0.7648706772748142
1971-05-26,1971,May,-0.5575909782858162
1971-06-25,1971,Jun,-4.872661635454961
1971-07-26,1971,Jul,-8.141340188419122
1971-08-25,1971,Aug,-14.641550759708139
1971-09-25,1971,Sep,-19.659301578297317
1971-10-25,1971,Oct,-15.493846758674124
1971-11-23,1971,Nov,-23.067920280905298
1971-12-24,1971,Dec,-17.23313778147977
1972-01-23,1972,Jan,-4.152849264705878
1972-02-23,1972,Feb,-0.7127215217141156
1972-03-24,1972,Mar,0.32784028894764106
1972-04-24,1972,Apr,0.24192720301010695
1972-05-25,1972,May,0.4077202292049833
1972-06-24,1972,Jun,-3.838877240349234
1972-07-25,1972,Jul,-10.165572940601976
1972-08-24,1972,Aug,-12.5611290426815
1972-09-24,1972,Sep,-12.493502628102021
1972-10-24,1972,Oct,-15.764393705480188
1972-11-22,1972,Nov,-11.854235121783063
1972-12-23,1972,Dec,-6.606912410960433
1973-01-22,1973,Jan,-1.833184096392415
1973-02-22,1973,Feb,-0.7083847943474098
1973-03-24,1973,Mar,0.6511237649356758
1973-04-24,1973,Apr,0.42030819163602473
1973-05-25,1973,May,-0.051926197725151724
1973-06-24,1973,Jun,-3.8313178567325394
1973-07-25,1973,Jul,-8.159715001723328
1973-08-24,1973,Aug,-11.940978285845574
1973-09-24,1973,Sep,-21.061474250344645
1973-10-24,1973,Oct,-15.477808694278451
1973-11-22,1973,Nov,-19.725637099322114
1973-12-23,1973,Dec,-11.163411218979775
1974-01-22,1974,Jan,-4.936560776654403
1974-02-22,1974,Feb,-1.2739207548253262
1974-03-24,1974,Mar,0.48459723977481417
