date,year,month,average_tas_c
2035-11-07,2035,Nov,-12.403767664292275
2035-12-08,2035,Dec,-9.452112534466892
2036-01-07,2036,Jan,-5.191330135569842
2036-02-07,2036,Feb,-0.21879703297332753
2036-03-08,2036,Mar,1.2969586540671116
2036-04-08,2036,Apr,2.171525663488069
2036-05-09,2036,May,1.8788498822380575
2036-06-08,2036,Jun,-1.6797287884880348
2036-07-09,2036,Jul,-3.3832138959098756
2036-08-08,2036,Aug,-3.088121840533063
2036-09-08,2036,Sep,-11.73353307387407
2036-10-08,2036,Oct,-12.35408397001379
2036-11-06,2036,Nov,-10.271453857421875
2036-12-07,2036,Dec,-8.758161477481622
2037-01-06,2037,Jan,-1.9043478573069592
2037-02-06,2037,Feb,-0.16549826229316977
2037-03-08,2037,Mar,1.431565228630518
2037-04-08,2037,Apr,2.600612146714184
2037-05-09,2037,May,1.7942091997932152
2037-06-08,2037,Jun,-1.93095056870402
2037-07-09,2037,Jul,-3.0039407169117567
2037-08-08,2037,Aug,-7.056072279986211
2037-09-08,2037,Sep,-10.78331729664518
2037-10-08,2037,Oct,-14.31491358139931
2037-11-06,2037,Nov,-9.471802475873119
2037-12-07,2037,Dec,-6.926062729779403
2038-01-06,2038,Jan,-3.3744621725643356
2038-02-06,2038,Feb,0.12871129653035496
2038-03-08,2038,Mar,1.5027641745174947
2038-04-08,2038,Apr,2.1251249425551464
2038-05-09,2038,May,1.0174635943244539
2038-06-08,2038,Jun,-1.1163265452665314
2038-07-09,2038,Jul,-2.336373003791323
2038-08-08,2038,Aug,-7.659880155675523
2038-09-08,2038,Sep,-4.534851792279369
2038-10-08,2038,Oct,-5.768306956571678
2038-11-06,2038,Nov,-12.882324757295464
2038-12-07,2038,Dec,-7.325220444623142
2039-01-06,2039,Jan,-3.873361385569808
2039-02-06,2039,Feb,0.35750445197612635
2039-03-08,2039,Mar,1.9104133157169372
2039-04-08,2039,Apr,1.308013197955006
2039-05-09,2039,May,-0.21289888269757284
2039-06-08,2039,Jun,-1.8695646398207373
2039-07-09,2039,Jul,-4.7565684599034626
2039-08-08,2039,Aug,-5.500407858455844
2039-09-08,2039,Sep,-9.671841969209538
2039-10-08,2039,Oct,-11.954337983972891
2039-11-06,2039,Nov,-14.26133602366724
2039-12-07,2039,Dec,-10.58220430261946
2040-01-06,2040,Jan,-5.650914450252742
2040-02-06,2040,Feb,-0.02537339154412166
2040-03-07,2040,Mar,0.45949886546418384
2040-04-07,2040,Apr,1.2143145392922747
2040-05-08,2040,May,0.4298745548024385
2040-06-07,2040,Jun,-1.6220003015854445
2040-07-08,2040,Jul,-7.279581586052359
2040-08-07,2040,Aug,-9.723177203010096
2040-09-07,2040,Sep,-8.695698457605658
2040-10-07,2040,Oct,-15.395931288775273
2040-11-05,2040,Nov,-9.573159251493564
